中文名稱,英文名稱,近臺強度,最低氣壓(hPa),近臺,最大風速(m/s),7級風暴風半徑(km),10級風暴風半徑(km),發布警報時間,解除警報時間
尼爾森,NELSON,強烈,898,63,300,120,10,1988-10-03 21:15,1988-10-06 03:40
李尹,LEE,輕度,984,28,150,50,5,1988-09-23 09:50,1988-09-24 09:45
克蒂,KIT,輕度,984,28,150,50,5,1988-09-21 10:15,1988-09-22 09:05
華倫,WARREN,強烈,927,55,250,120,11,1988-07-17 08:45,1988-07-19 21:00
蘇珊,SUSAN,中度,963,40,150,50,9,1988-05-31 21:15,1988-06-02 20:55
琳恩,LYNN,強烈,898,53,400,150,20,1987-10-22 16:05,1987-10-27 09:50
傑魯得,GERALD,強烈,937,51,300,150,15,1987-09-07 16:10,1987-09-11 03:55
黛納,DINAH,強烈,910,62,400,200,12,1987-08-27 15:15,1987-08-30 08:30
凱瑞,CARY,中度,968,38,200,80,16,1987-08-15 09:40,1987-08-19 03:20
亞力士,ALEX,中度,976,35,250,100,10,1987-07-25 15:10,1987-07-27 21:35
費南,VERNON,中度,981,33,200,120,11,1987-07-19 15:15,1987-07-22 04:25
賽洛瑪,THELMA,強烈,911,60,350,150,16,1987-07-11 10:00,1987-07-15 04:10
艾倫,ELLEN,中度,970,40,250,80,14,1986-10-14 14:50,1986-10-17 20:35
艾貝,ABBY,強烈,943,51,400,200,18,1986-09-16 09:50,1986-09-20 15:25
韋恩,WAYNE,中度,951,38,200,100,12,1986-08-20 20:50,1986-08-23 15:15
韋恩,WAYNE,輕度,951,28,120,---,4,1986-08-24 08:10,1986-08-25 04:35
韋恩,WAYNE,中度,951,40,150,50,26,1986-08-28 15:25,1986-09-03 20:35
薇拉,VERA,中度,923,45,400,200,10,1986-08-25 09:55,1986-08-27 15:58
莎拉,SARAH,輕度,986,23,150,---,9,1986-08-01 09:20,1986-08-03 09:50
佩姬,PEGGY,強烈,900,70,400,200,18,1986-07-07 09:00,1986-07-11 15:15
南施,NANCY,中度,955,38,200,50,9,1986-06-22 15:25,1986-06-24 15:00
白蘭黛,BRENDA,中度,964,45,300,150,11,1985-10-02 16:05,1985-10-05 04:00
衛奧,VAL,輕度,992,25,150,---,11,1985-09-15 16:00,1985-09-17 21:15
蒂絲,TESS,中度,967,33,200,50,7,1985-09-03 16:00,1985-09-05 04:00
派特,PAT,中度,961,35,250,100,12,1985-08-27 15:30,1985-08-30 09:40
尼爾森,NELSON,中度,961,48,300,120,15,1985-08-20 15:30,1985-08-24 04:35
傑夫,JEFF,中度,967,35,200,80,11,1985-07-28 09:00,1985-07-30 20:50
海爾,HAL,中度,955,48,350,250,12,1985-06-21 09:50,1985-06-24 04:00
比爾,BILL,強烈,910,51,200,100,6,1984-11-17 15:00,1984-11-18 21:00
裘恩,JUNE,輕度,983,32,250,---,11,1984-08-28 16:10,1984-08-31 04:00
郝麗,HOLLY,中度,964,35,350,200,10,1984-08-17 15:00,1984-08-19 21:30
傑魯得,GERALD,輕度,985,28,180,---,12,1984-08-16 15:00,1984-08-19 09:50
芙瑞達,FREDA,輕度,982,25,200,---,8,1984-08-06 15:10,1984-08-08 09:40
亞力士,ALEX,中度,980,35,150,80,8,1984-07-02 21:00,1984-07-04 09:00
魏恩,WYNNE,輕度,982,28,150,---,13,1984-06-21 14:45,1984-06-24 14:25
佛瑞特,FORREST,強烈,883,65,400,200,14,1983-09-23 21:10,1983-09-27 04:30
艾倫,ELLEN,強烈,928,63,250,120,11,1983-09-05 21:00,1983-09-08 09:10
艾貝,ABBY,強烈,888,67,400,200,15,1983-08-09 16:00,1983-08-13 04:30
韋恩,WAYNE,強烈,920,63,250,120,10,1983-07-23 15:30,1983-07-25 20:50
南施,NANCY,強烈,933,58,200,100,6,1982-10-14 08:50,1982-10-15 14:40
肯恩,KEN,強烈,936,55,250,120,18,1982-09-18 15:20,1982-09-22 20:10
費依,FAYE,輕度,961,25,100,---,6,1982-08-26 03:15,1982-08-27 08:55
黛特,DOT,中度,966,33,200,100,11,1982-08-13 09:40,1982-08-15 20:30
西仕,CECIL,強烈,920,55,220,140,20,1982-08-06 10:10,1982-08-10 21:30
安迪,ANDY,強烈,915,60,300,100,16,1982-07-26 15:40,1982-07-30 09:10
